solana_influential_accounts
Group Name;Twitter Link;Name;Note
Founders & Project Leads;https://x.com/A1lon9;Alon;Ecosystem profile for Alon (Pump.fun (Co-Founder)).
Founders & Project Leads;https://x.com/realdezen;Zen;"Meteora co-lead; protocol operations and developer partnership updates."
Founders & Project Leads;https://x.com/akshaybd;Akshay BD;"Superteam co-founder; insights on growth, distribution, and emerging markets."
Founders & Project Leads;https://x.com/toly;Anatoly Yakovenko;"Solana co-founder; shares critical technical, roadmap, and network updates."
Founders & Project Leads;https://x.com/armaniferrante;Armani Ferrante;"Backpack & Anchor framework founder; core builder voice for Rust developers."
Founders & Project Leads;https://x.com/baalazamon;Bartosz Lipiński;"Cube CEO; insights on hybrid exchange models and cross-chain execution."
Founders & Project Leads;https://x.com/bennybitcoins;Ben Chow;"Jupiter co-founder; product design and ecosystem collaboration insights."
Founders & Project Leads;https://x.com/BChillman;Brandon Millman;Ecosystem profile for Brandon Millman (Phantom Wallet (CEO/Co-Founder)).
Founders & Project Leads;https://x.com/BrianLong;Brian Long;"Triton One co-founder; updates on global infrastructure and validator health."
Founders & Project Leads;https://x.com/cindyleowtt;Cindy Leow;"Drift co-founder; insights on perpetual DEXs, risk, and DeFi scaling."
Founders & Project Leads;https://x.com/clayrobbins;Clay Robbins;"Colosseum co-founder; venture funding and project acceleration insights."
Founders & Project Leads;https://x.com/0xShitTrader;Eugene Chen;"Ellipsis Labs co-founder; insights on orderbook mechanics and state design."
Founders & Project Leads;https://x.com/soleconomist;FP Lee;"Sanctum founder; deep insights into liquid staking and economic design."
Founders & Project Leads;https://x.com/fragosti;Francesco Agosti;"Phantom co-founder; builder updates on UX and mobile wallet design."
Founders & Project Leads;https://x.com/oritheorca;Grace Kwan;"Orca co-founder; focus on DeFi user experience and clean interfaces."
Founders & Project Leads;https://x.com/garious14;Greg Fitzgerald;Ecosystem profile for Greg Fitzgerald (Solana (Technical Co-Founder)).
Founders & Project Leads;https://x.com/jarxiao;Jarry Xiao;"Ellipsis Labs co-founder; builder perspective on high-performance DeFi."
Founders & Project Leads;https://x.com/JWashAnza;Jeff Washington;"CEO of Anza; leader in core engineering and protocol developments."
Founders & Project Leads;https://x.com/kashdhanda;Kash Dhanda;"Superteam co-founder; community-led marketing and talent coordination."
Founders & Project Leads;https://x.com/buffalu__;Lucas Bruder;"Jito CEO; insights on network latency, MEV, and core infrastructure."
Founders & Project Leads;https://x.com/y2kappa;Marius Ciubotariu;"Kamino co-founder; technical deep-dives on lending risk models and math."
Founders & Project Leads;https://x.com/mattytay;Matty Taylor;"Colosseum co-founder; crucial follow for hackathon strategy and startup scaling."
Founders & Project Leads;https://x.com/weremeow;Meow;"Jupiter co-founder; highly active voice on alignment, DAO governance, and growth."
Founders & Project Leads;https://x.com/mert;Mert Mumtaz;"Helius CEO; vocal developer advocate sharing performance data and ecosystem insights."
Founders & Project Leads;https://x.com/mdomcahill;Michael Cahill;"Douro Labs/Pyth CEO; insights on institutional data and decentralized oracle scaling."
Founders & Project Leads;https://x.com/nixholas;Nicholas Chen;"SolanaFM co-founder; developer building block explorer data APIs."
Founders & Project Leads;https://x.com/rajgokal;Raj Gokal;"Solana co-founder; focuses on ecosystem growth, culture, and founder perspectives."
Founders & Project Leads;https://x.com/0xrwu;Richard Wu;"Tensor co-founder; engineering updates on high-frequency trading of NFTs."
Founders & Project Leads;https://x.com/SimkinStepan;Stepan Simkin;"Squads CEO; updates on multisig security and treasury management solutions."
Founders & Project Leads;https://x.com/stephenakridge;Stephen Akridge;"Solana & Anza co-founder; core protocol performance engineering insights."
Founders & Project Leads;https://x.com/tarunchitra;Tarun Chitra;"Gauntlet founder; mathematical researcher publishing on DeFi risk."
